index,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19
x10,0.643516389237053,0.6098970628961167,0.19584827416902925,0.05833250842507483,0.49483659760390075,0.17426887430938579,0.9950697312799369,0.8620428665876181,0.6409607026795368,0.32541016386300303,,0.9603000955338393,0.1736889447072474,0.9669600069932901,0.9722332251901616,0.2452521316342616,0.3875458154438499,0.31941933618323454,0.4571939610878877,0.4532591614963991
x11,0.9707545963908442,0.21406904190241063,0.6597673731500133,0.4062450956371956,0.838777150613073,0.7972216780191888,0.2940144230902072,0.36313002437467296,0.41214232997975536,0.901885515403393,0.9603000955338393,,0.7793719613899192,0.3265577461567562,0.42905256713363066,0.13990586549021097,0.924053795140074,0.3555037195291381,0.4251336163198859,0.6860289882743463
x12,0.3331491475005431,0.5403748743227612,0.0105500936418092,0.11138497143655755,0.4259749425276943,0.8462553121003149,0.5408992557629992,0.9787497341330024,0.6485627392975049,0.18499993357878708,0.1736889447072474,0.7793719613899192,,0.6683268295257297,0.9967146505928521,0.34712118973467004,0.8927845767607774,0.9007838899816747,0.9915187321745842,0.6430504604648766
x13,0.466534044171817,0.6776527161576389,0.2639220764630941,0.8172506684199009,0.32657301654481724,0.4843650615275428,0.6620551776443326,0.1294745361899094,0.4842415208238653,0.07326677629772098,0.9669600069932901,0.3265577461567562,0.6683268295257297,,0.6215347694421052,0.40754950139742335,0.8588898244589683,0.3581820586727587,0.058348939809676675,0.6760404624652034
x14,0.8611606885259989,0.4016689148401248,0.11550081195615652,0.0014480126773121465,0.5227108647678582,0.17906945226600396,0.17748860964838375,0.00791869209870713,0.3249600193753223,0.5336772450168865,0.9722332251901616,0.42905256713363066,0.9967146505928521,0.6215347694421052,,0.5018271352900935,0.22085939247499492,0.4999894320733512,0.07051335307213946,0.5245395413413431
x15,0.8503062170826499,0.12805998736854549,0.11777692691981369,0.40915404087198554,0.5089824378261742,0.9564883230814037,0.80448829826317,0.981517785959397,0.05411672314158127,0.1485001684123054,0.2452521316342616,0.13990586549021097,0.34712118973467004,0.40754950139742335,0.5018271352900935,,0.43042903918648595,0.7012156732774408,0.08416747101924439,0.7730392716739493
x16,0.18479583019431994,0.41537265804231416,0.6082089188401834,0.41463205391484925,0.8575457964425334,0.9915737886734323,0.9429308366009309,0.8535528680509787,0.9030432528157212,0.22279888606253812,0.3875458154438499,0.924053795140074,0.8927845767607774,0.8588898244589683,0.22085939247499492,0.43042903918648595,,0.4709303278528788,0.8171827390442852,0.5378677044253555
x17,0.47290429783215004,0.42928459524504325,0.6746597450922159,0.6804975217987477,0.9925043601241671,0.6549295877434397,0.3215829081907036,0.21271718507835577,0.1416288647237074,0.4539223145042013,0.31941933618323454,0.3555037195291381,0.9007838899816747,0.3581820586727587,0.4999894320733512,0.7012156732774408,0.4709303278528788,,0.5209350285027453,0.8389079893414624
x18,0.18124331449242803,0.9673307623566257,0.0893116611489364,0.9390880293623938,0.3711977273653589,0.008598614346365004,0.9302204835198425,0.13310443014085532,0.8221377870373593,0.43783997658784884,0.4571939610878877,0.4251336163198859,0.9915187321745842,0.058348939809676675,0.07051335307213946,0.08416747101924439,0.8171827390442852,0.5209350285027453,,0.057782424081041776
x19,0.9288442717452037,0.08797523126642619,0.7765158963060926,0.8179895353126889,0.7664891812524762,0.9144256453610909,0.05224866903091113,0.19617545252872653,0.713687420869736,0.778368529714653,0.4532591614963991,0.6860289882743463,0.6430504604648766,0.6760404624652034,0.5245395413413431,0.7730392716739493,0.5378677044253555,0.8389079893414624,0.057782424081041776,
