id,geometry,中心点经度,中心点纬度,地块编号,用地类型,街镇,区县,是否水乡单元,控规单元,area,设施大类,设施小类,覆盖面积,覆盖人数,覆盖地块数
幼11,0106000020E61000000100000001030000000100000012000000A402681273425E4096F14C32B7183F4036CE101A6D425E40C5A3E145BA183F400A053CF56C425E40418B0EE3BE183F40EAE4E8996C425E407DC907ADC5183F40353920236C425E40C0D63963CC183F40A9E23C916B425E40D4D58100D3183F401780AEE46A425E405EF9CF7FD9183F40B7141D0F6F425E409F2B76A3D7183F40D87D49526F425E4071DAA4B2D3183F40D7F348AB6F425E40222C0BD6CF183F408BBA9A1970425E409F043F13CC183F40413F9F9C70425E40ECF4B06FC8183F408E65AD1771425E402618D8EDC4183F40BB1C5B7971425E4098D5C447C1183F40451099CF71425E40FCF455D6BC183F40DC272B2A72425E40128ED045BA183F40AAA0DE9172425E40D5FB46A7B8183F40A402681273425E4096F14C32B7183F40,130,40,qdq1896,居住,朱家角镇,青浦区,是,xsf44,1341.745948,教育,托幼,1000,35,2
幼12,0106000020E61000000100000001030000000100000007000000778CBFB916425E407BD7C0295A223F4007057D2F02425E40D60C4E2450223F40F50A3FF502425E408338AC5A62223F406BA4B09C04425E404B6180DB73223F40B6BC437316425E4036C197D27B223F40778CBFB916425E4082D7C0295A223F40778CBFB916425E407BD7C0295A223F40,131,41,qdq2153,居住,朱家角镇,青浦区,否,xsf45,6541.334606,教育,托幼,1000,35,2
幼13,0106000020E6100000010000000103000000010000001A00000030309FFDF6405E409F20FE3038193F40C7FA634F08415E408C907E1052193F40B940D90317415E40B77B621567193F40F29049BD19415E40B9F1689955193F4078B03EB91F415E400C7A260E2F193F4008D427E41F415E40EE5681642D193F40ADE204FA1F415E407B3B46A82B193F4017813CFA1F415E40D93CBCE529193F4075F7CAE41F415E406EC2432928193F401F224ABA1F415E40B067207F26193F40B60FE47B1F415E40A73710F324193F40C0F9512B1F415E40DF51FA8F23193F401578CBCA1E415E4016F6A85F22193F404816F95C1E415E405BBC7F6A21193F409C7B2D4405415E40072DA415F3183F40B8126BC504415E40B8DB945AF2183F40716A253F04415E40F24A1CEEF1183F40A2EA70B503415E4095BA8DD3F1183F4029C07D2C03415E4051F2B50BF2183F4073D973A802415E409EA0DE94F2183F402DC0562D02415E403274DD6AF3183F40E2CDE3BE01415E40CF9F3287F4183F40FC1A776001415E4096D33AE1F5183F400529EE1401415E4015AD706EF7183F40D502E631FB405E401398F6351D193F4030309FFDF6405E409F20FE3038193F40,132,42,qdq1135,居住,朱家角镇,青浦区,否,xsf46,26819.68631,教育,托幼,1000,35,2
幼14,0106000020E61000000100000001030000000100000006000000293E5E7140435E4033366BC5A11B3F40293E5E7140435E403A366BC5A11B3F4009D4DFFF3F435E40C533B89BA31B3F40EB9BA2E640435E40E00E3772A51B3F40C75C382543435E40CAA32DDBAA1B3F40293E5E7140435E4033366BC5A11B3F40,133,43,qdq2037,居住,朱家角镇,青浦区,否,xsf47,40.58831222,教育,托幼,1000,35,2
幼15,0106000020E610000001000000010300000001000000150000003B31C4E449435E40F0C7D2ED351D3F40091DCCEC36435E4078EFFF84151D3F40A46A4DB336435E405ABAFC011C1D3F401F0B529736435E409952ABD01F1D3F403F5AF24D36435E40F8F6C07F251D3F404BCAD00636435E40753A0066291D3F40E087729535435E40C1DB184B301D3F40C8A8EA9436435E40DEF03D28321D3F4001C684E037435E40B8DE316E331D3F4080ECBA7D38435E40FF7A8CE5341D3F40BE8359C43A435E40B9DDE7173A1D3F406E795C893D435E40C257F3153B1D3F40FB0B1A723F435E4093D7CC443E1D3F4086F497B33F435E4020DC5A7B3C1D3F402DF253AC40435E4015DDA2323D1D3F40879A7E7B42435E40AB5E32B8401D3F406AF6760A44435E40705DA13A441D3F4043DD07A544435E40ED05F3D4421D3F40C949FBD146435E40E81E0101471D3F40946AECB748435E402FE952B73B1D3F403B31C4E449435E40F0C7D2ED351D3F40,134,44,qdq2004,居住,朱家角镇,青浦区,否,xsf48,4531.565925,教育,托幼,1000,35,2
幼16,0106000020E610000001000000010300000001000000070000000715E2846D435E400959C9826B1C3F402B4C868067435E405E53B7DEA31C3F40735DC9F873435E40A03A0967B11C3F40E1A891A474435E40DB3BD759B01C3F402A9F03AD79435E40E94B93F3741C3F406E1AFE4179435E40A030BC96721C3F400715E2846D435E400959C9826B1C3F40,135,45,qdq2016,居住,朱家角镇,青浦区,否,xsf49,8039.020568,教育,托幼,1000,35,2
幼17,0106000020E6100000010000000103000000010000000800000018E232F844435E4068953396CB1B3F405194270A44435E402DF8D567C91B3F4018D794E942435E40E8D00CDAD01B3F40FDFB8B8142435E40D32455ADD31B3F40595BB1E442435E4000A5AC71D41B3F40C86AC98E43435E409049943CD21B3F405050674144435E409F234018CF1B3F4018E232F844435E4068953396CB1B3F40,136,46,qdq2034,居住,朱家角镇,青浦区,否,xsf50,96.45288865,教育,托幼,1000,35,2
幼18,0106000020E6100000010000000103000000010000000E0000008C4585E158435E4006E5F32E981B3F4017175D7958435E405EB263F4951B3F40D2CE7C8F57435E40BF5F3BDB971B3F4080CDA03156435E409835C1E0991B3F409926E14355435E40FF9DF7BC9C1B3F406AD5A65154435E407BD6A5B49D1B3F4006B4B02253435E407B043B3BA21B3F40D35968CB53435E406DF16A5FA11B3F40C268CE4354435E404383E7D9A01B3F40D41D50E354435E402691CB53A01B3F4042768BB555435E40F16ED1069F1B3F404ADFC8E456435E4054993A5E9C1B3F404C5729D057435E40A214355D9A1B3F408C4585E158435E4006E5F32E981B3F40,137,47,qdq2056,居住,朱家角镇,青浦区,否,xsf51,161.1080446,教育,托幼,1000,35,2
幼19,0106000020E610000001000000010300000001000000100000003EDEE417E3425E40A4793DA406213F408ECDC55EE0425E40E5F9826CFC203F4099341A95DC425E40382DB0F1F0203F408AA5A36AD6425E401143C00BE8203F4077BB4B19D3425E405A46F324E1203F404B702E98C6425E401A3C61ABBF203F406FEC4101BC425E40403635F4A4203F40261EF585B9425E40ED82F74198203F402A48B6C1B8425E402651E2EF92203F4063A4CE38B8425E40F1A516EE92203F4043CCC446B8425E404C6FD1A598203F4029317E0AB6425E40ED697D6C05213F40CD567327D0425E40E853A07A3A213F403FA66162D3425E405C9B12AF40213F40363D83A2D6425E40988938B146213F403EDEE417E3425E40A4793DA406213F40,138,48,qdq1927,居住,朱家角镇,青浦区,否,xsf52,38214.99615,教育,托幼,1000,35,2
幼20,0106000020E6100000010000000103000000010000000500000064FCFBB3D9415E40DECE9773231A3F40C0C23D47CF415E40039B00E2201A3F40F8B177ECCE415E403DEF93ED3E1A3F409E81FA70D9415E4022B85854401A3F4064FCFBB3D9415E40DECE9773231A3F40,139,49,qdq2083,居住,朱家角镇,青浦区,否,xsf53,3045.018292,教育,托幼,1000,35,2
幼21,0106000020E610000001000000010300000001000000050000004BC4188068435E40D22C9E29941B3F40479E938D68435E40BA06C6D5901B3F409B5AC10E67435E409451EFA9901B3F40B529108C67435E405C754882941B3F404BC4188068435E40D22C9E29941B3F40,140,50,qdq2059,居住,朱家角镇,青浦区,否,xsf54,43.43958033,教育,托幼,1000,35,2
幼22,0106000020E6100000010000000103000000010000000E0000004549F976E0415E4014C35A9BBC193F402C40F917C2415E4012606D15B5193F4065D5108EC1415E40AD16BF1CB5193F40AC4B9F06C1415E4027826176B5193F40762BC285C0415E40556C9B1FB6193F406ECF630FC0415E4055864813B7193F40B2EF1CA7BF415E404467014AB8193F4055A81850BF415E40162355BAB9193F4026D4FB0CBF415E4068BA1259BB193F40C97BD0DFBE415E403427A019BD193F400DF9F5C9BE415E4031625CEEBE193F40C4B4C4E0BD415E40E634B07DEA193F40D24CB99FDF415E406DDE95D5F2193F404549F976E0415E4014C35A9BBC193F40,141,51,qdq1240,居住,朱家角镇,青浦区,否,xsf55,17949.72405,教育,托幼,1000,35,2
幼23,0106000020E610000001000000010300000001000000130000003824547B9D415E40F5012703AC193F4014122B459D415E40FE5FA54CB2193F40CC2482259D415E4044463A9DB8193F40C1086C1C9D415E4083142DF1BE193F40C37EEE149D415E40F7707649CC193F401DAD23F59C415E40CAEC17A0D9193F40142EB5D09C415E40C2A12548E2193F405A73DA73BA415E403BECD8A4E9193F40C9C3A55CBB415E405ACF6E3FBD193F4095FD5851BB415E402AB7907EBB193F40B3C0A130BB415E40A69450CAB9193F4008CE66FBBA415E405A57B32EB8193F402B971FB3BA415E40F12A10B7B6193F4081E6C959BA415E40B17AC06DB5193F4062D3DBF1B9415E4019F3D65BB4193F402866327EB9415E40E183DF88B3193F40C965FD01B9415E40EC25AAFAB2193F405DDEA880B8415E409DDC21B5B2193F403824547B9D415E40F5012703AC193F40,142,52,qdq1242,居住,朱家角镇,青浦区,否,xsf56,15974.8331,教育,托幼,1000,35,2
幼24,0106000020E6100000010000000103000000010000000A000000845AC10E67435E403C51EFA9901B3F40892C7AE164435E40D4619ED8901B3F40B50416D062435E4024C40C94911B3F4061357EE460435E40CE7ECC76921B3F4097F8C1D960435E40665DFC0A961B3F40A276D21761435E40B0F9B475971B3F409D3F51D264435E401453FC84961B3F40637F18DA66435E40575D11A1961B3F40F7B21CD366435E405B7FF6AA941B3F40845AC10E67435E403C51EFA9901B3F40,143,53,qdq2058,居住,朱家角镇,青浦区,否,xsf57,328.0475844,教育,托幼,1000,35,2
幼25,0106000020E6100000010000000103000000010000000500000024754D0490425E4050170749B8183F40451371BA88425E40E8861720EA183F4020561D2998425E4041A27389FF183F4087B7F2619C425E40C08FE6DFCD183F4024754D0490425E4050170749B8183F40,144,54,qdq2091,居住,朱家角镇,青浦区,否,xsf58,8031.258528,教育,托幼,1000,35,2
幼26,0106000020E6100000010000000103000000010000001400000059A0077C56425E40B370047F4B1B3F4055D1AAD459425E40139992A9A41A3F40BB2BF30B54425E401D99BB9DA71A3F409EB09B7B45425E40104EC34EAF1A3F401A91EA1C3B425E40BCDDF755BD1A3F4047B2459232425E40F9965AFFC61A3F40DC725C791F425E4078F402FDD81A3F403C406FA314425E400A7A7701E71A3F4023B32EB90F425E402052E6ED091B3F4077CE30EA0B425E406AAEC4AC131B3F40CE5486E01A425E401DE6D4D41F1B3F407A0BDE3B21425E40A672FC8F231B3F407F265B5327425E408750374A271B3F408BA299A631425E4078093674311B3F40E54ADE823C425E40A1B45D11371B3F4060CF4D3949425E4072F9C4703F1B3F409BA607FD4D425E4033B1FDF8441B3F40E90B086E51425E40DCE10AAA481B3F40AF2DAC2355425E40BC9C04A0491B3F4059A0077C56425E40B370047F4B1B3F40,145,55,qdq2076,居住,朱家角镇,青浦区,否,xsf59,76816.88034,教育,托幼,1000,35,2
幼27,0106000020E6100000010000000103000000010000001D0000009340D0723B415E40A1D08FDC00193F400B73F00B3B415E408205C21400193F407B0D01973A415E4089822104FF183F403CB2F1033A415E40B76583CEFD183F4028DCA26E39415E40E503D5ADFC183F406155EDD033415E4044978BFEF3183F40B85563362E415E402B521D37EB183F40155C7E3227415E4039421E3D18193F40269826FC26415E40351374F119193F4092F6A4DC26415E401EA6A1BF1B193F404F82EED426415E408BFC9B991D193F4065D23FE526415E40392F04711F193F40948E190D27415E400278803721193F40E2E6454B27415E4074D743DF22193F400478E19D27415E400B2B6B5B24193F4099CA690228415E4013B56DA025193F40EC3CCF7528415E40F9D46AA426193F40A5E0EA9A3B415E40E8CAEAFB49193F40DFC0BA253C415E409D4270C94A193F409329B6B83C415E40329619424B193F406A57864F3D415E404C9B58624B193F40F39BB7E53D415E400EDC3C294B193F4093E1D8763E415E405C2770984A193F4016CDA0FE3E415E40FCF33AB449193F40AB6B0E793F415E40A4185E8348193F4037E680E23F415E409805D90E47193F4080B6DC3740415E40DE4EAC6145193F4056BC996547415E40C4A073A519193F409340D0723B415E40A1D08FDC00193F40,146,56,qdq1137,居住,朱家角镇,青浦区,否,xsf60,17503.86545,教育,托幼,1000,35,2
幼28,0106000020E61000000100000001030000000100000028000000EA4D6948DE405E4036EEF165951F3F40351D6948DE405E40B61EF565951F3F40CD15C2B7D6405E409BA7BE0201203F40DC2E9D43FD405E4020378B4D63203F40C33D4CD9FD405E40595D951C62203F4063061599FE405E402C3DD89560203F40DA7E5114FF405E404CB8C19A5F203F404D5A7C0800415E407C904AA95D203F40D31092B301415E408392F8465A203F40628803D806415E403F32924B5B203F40C3733D9E07415E405C5D9C465B203F401B58424308415E40D3C176EC5A203F406E74C0C509415E4041BE996D59203F4013C88AAB0C415E40721A472F55203F40F9D368A30D415E40DA55969F53203F40C351513312415E40692A3BB04C203F4009F6A28111415E40A4A23A4847203F40C0B8FDF109415E4071257A9813203F40B1E5C5FC08415E40FFC5088B0C203F400E3D8A2608415E4013A97F4F05203F405802047007415E400B4D2BECFD1F3F40C2F5D1D906415E40CB217567F61F3F405D5D776406415E4066A4E6C7EE1F3F402ABE591006415E40D0F32214E71F3F40E611C2DD05415E40CBADDB52DF1F3F401EFFDCCC05415E406035CF8AD71F3F4087B7B8DD05415E40D330C2C2CF1F3F40ACFA451006415E4087107901C81F3F40C5855A6406415E40583DAF4DC01F3F40478882B506415E4037B4190EBB1F3F405FC87C0E07415E40127A63D4B51F3F40DC721EEF0B415E405C781E79751F3F408E99C1890B415E408B9E7A51741F3F40EBF49C180B415E4008B9C761731F3F40CBD8419E0A415E40741975AF721F3F4006B67F1D0A415E40AC5A9F3E721F3F40B227232309415E40ABCB68A7711F3F4040C487C508415E40B76AE6C3751F3F40902BD26502415E40D848296EBD1F3F40EA4D6948DE405E4036EEF165951F3F40,147,57,qdq1308,居住,朱家角镇,青浦区,否,xsf61,73075.58763,教育,托幼,1000,35,2
幼29,0106000020E6100000010000000103000000010000001E0000006172E8717B425E40FCF9AFA5C0223F402A4DEEC47C425E405B59615630223F40BA09D65F79425E403E753B582D223F40EB1553DA76425E40C01B655F2A223F400ECD0EF26F425E407A5C813926223F40C481C55A6A425E407723F69122223F40FD711F7D69425E40A3F51EEE2B223F4087D0592B66425E4054CA991853223F40AEB7936D64425E40638A22B265223F4094C054EC63425E402995568469223F402912F58463425E404183CBC46B223F40117EEBE962425E409CBC0B666E223F4052B7D2BC61425E4074B5E09471223F40F0980FBD60425E401F5E7EED72223F40C28AC8BB5D425E40793E99CA72223F4033B1E7795A425E403E83991A72223F40B6910C6856425E40DED9112A70223F407CB107DE52425E401AED8FCE6E223F40B6EA9DF74D425E402D3E774B6E223F40C9B9DEF94C425E40ED9FC24B6F223F4050A476844B425E4077A611FF70223F40E86470EF49425E405D9F298D73223F40ECB729B147425E4050EB4AD077223F402ACBB56947425E408D38C95A79223F402E9F931F46425E40D2F6B0A281223F406529A07246425E404FFE3E7E95223F40ED0C34C647425E4019DD5F63A3223F400C0F7D6748425E40D153C5B0BA223F40AA539CC17A425E4066D104C4C0223F406172E8717B425E40FCF9AFA5C0223F40,148,58,qdq1906,居住,朱家角镇,青浦区,否,xsf62,55302.08696,教育,托幼,1000,35,2
幼30,0106000020E6100000010000000103000000010000002B000000C8A789FD16415E40F8725B0ABA1E3F403677AE8A16415E40973EEE87B31E3F40195B95F815415E40A89EB822AD1E3F401422DC4715415E40C69BACE1A61E3F40C06D437914415E40F3B88DCBA01E3F404ED1A98D13415E40B94FF4E69A1E3F40245850E8FE405E407DAC796D201E3F4072737917FD405E40B30E1B53151E3F402190595CFB405E407DA8F50F0A1E3F40C07E3EB7F9405E40EF0600A6FE1D3F40C3536F28F8405E404AC23817F31D3F406FF033B0F6405E4066E0A265E71D3F40220FCC4EF5405E4063594493DB1D3F40A9A6A5A8F4405E400069FACCD51D3F40259528A0F4405E400A93CA81D51D3F4002981000F1405E402A9C6ABF201E3F40A95ABE04EF405E4036CB27E0491E3F408BF02707EC405E4011179CF0871E3F402F9E8BA4E6405E405BE38CB2F71E3F40B19613DEEE405E4051382900F41E3F4023CD8ABEF4405E404F719535D71E3F40AF66D1C2F6405E40004B70ABD41E3F405E3F937A05415E40EA35D27B141F3F4054576D7206415E40FA2173AE181F3F40679DF39607415E40EC6AC4A21D1F3F40B906A9DC05415E4007B6885C4D1F3F4035BDF0C405415E40F4C7C5EB4F1F3F40C50488730A415E40A1F813E1621F3F40C1AA97F209415E40FB4CD68A681F3F4031FFE15C0B415E403E02A765691F3F40688613BD0B415E40D8B71B8D691F3F4099E58A1E0C415E40CC5ED18F691F3F40B94E7F7F0C415E406F81646D691F3F40FFBB2CDE0C415E4011D7CC26691F3F403C3258650E415E4002EE5FFD541F3F40B6B6F89E16415E40D6844A75E81E3F40479CD40C17415E40DF26E0EEE11E3F40C32DE65A17415E402FD46853DB1E3F40B223D78817415E40F9AC0EAAD41E3F407E8F779617415E405FB80AFACD1E3F405F1AB78317415E40E86D974AC71E3F401489AA5017415E401180F7A2C01E3F40C8A789FD16415E40F8725B0ABA1E3F40,149,59,qdq1374,居住,朱家角镇,青浦区,否,xsf63,88602.76522,教育,托幼,1000,35,2
幼31,0106000020E6100000010000000103000000010000002B00000040060CC8C9415E40855A4BDCC51F3F4047B6A18BCA415E4048598182921F3F40E54BFFF3C2415E4076D2B60D921F3F4016AE47FCC2415E40EC587356741F3F4065182CCDC0415E4070F989CB741F3F40FBE8119DBE415E4022C983E1741F3F40AAA5556DBC415E40A2895198741F3F407298533FBA415E40368522F0731F3F40936A6B14B8415E406F735CE9721F3F40F5C3F3EDB5415E40E3C2A484711F3F40F1A846CDB3415E4007C4E0C26F1F3F409FE3B7B3B1415E409B861BA56D1F3F4074C66F4174415E40B9FD371C2A1F3F402C6F507A73415E402B8585322A1F3F40291E87F672415E408E92A3092B1F3F405A39908E72415E40AB18B3692C1F3F400805F24D72415E4016B6B42B2E1F3F40B7FE454472415E40252D7AD8301F3F4018BF540973415E40AE48B54C391F3F4087D4CDE073415E40BDDE71E5401F3F400966A8D274415E4083A01F59481F3F40F0455ADE75415E40E5C07AA34F1F3F40E01E4A0377415E40D45560C0561F3F4073E5D24078415E40164DC7AB5D1F3F403F18419679415E409B62C061641F3F40B0BB560B82415E40C50A41DB8C1F3F400FDE5D1C87415E40FD19199D8F1F3F409E77283088415E4062F3183C901F3F40FF33889792415E4089380274961F3F4029B68CBF93415E4051CDC21B971F3F403D8785E294415E40B94C2517981F3F40640875FE95415E40E7CB7264991F3F403C096A1197415E40789164019B1F3F40F7DF9E4B9D415E40DA582B37A71F3F40CE9F30CEA7415E40BD1E71ABB41F3F40953BD869AE415E4070CA3616BD1F3F4014B0BDC9B5415E4038917E18C51F3F40EEE1AF1AB7415E401D387475C61F3F40C395296FB8415E40D6B72BAEC71F3F40571CD2C5B9415E40C42367C1C81F3F408B14F63BBF415E40562D44D0CA1F3F4085AEADD7C3415E4024C5B498C81F3F4040060CC8C9415E40855A4BDCC51F3F40,150,60,qdq1949,居住,朱家角镇,青浦区,否,xsf64,63610.04272,教育,托幼,1000,35,2
幼62,0106000020E61000000100000001030000000100000008000000A3CFBA517B425E403378C072CD223F407BCD6DA27A425E4007B18F2BCD223F4052A550BD54425E4072C97EC3C8223F406684D89254425E408DCF7B7C5C233F40326430E079425E409148D77360233F40BC71972E7B425E4034572E6DDB223F40A3CFBA517B425E403A78C072CD223F40A3CFBA517B425E403378C072CD223F40,151,61,qdq1902,居住,朱家角镇,青浦区,否,xsf65,55129.14034,教育,托幼,1000,35,2
幼235,0106000020E6100000010000000103000000010000000A0000002739EB4766435E40B5D3AD1D93203F404B107D535F435E40581F1F294F203F40EF4B75DF55435E401CAFA9955F203F40CB67DA6A47435E40B29F6DC37C203F4080E7B5D748435E40BC91CFBB82203F40B419E46849435E40DC3CC5E584203F40E7D3F9984D435E40691ED89095203F4060C454604F435E40C4FC45929C203F407CB242FE54435E406DAEE389AF203F402739EB4766435E40B5D3AD1D93203F40,152,62,qdq2237,居住,朱家角镇,青浦区,否,xsf66,16120.04838,教育,托幼,1000,35,2
